Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Edge Chromium 116,,,2023-09-05 15:43:03,2023-09-05 15:43:07,4.296s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), duaDigitAkhir)",Edge Chromium 116,,,2023-09-05 15:43:07,2023-09-05 15:43:08,1.299s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Edge Chromium 116,,,2023-09-05 15:43:08,2023-09-05 15:43:09,0.782s,PASSED
webDriver = getWebDriver(),Edge Chromium 116,,,2023-09-05 15:43:09,2023-09-05 15:43:09,0.001s,PASSED
"field_email = webDriver.findElement(By.xpath(""//input[@name=""alamat_email""]""))",Edge Chromium 116,,,2023-09-05 15:43:09,2023-09-05 15:43:09,0.310s,PASSED
"error_message = webDriver.executeScript(""return arguments[0].validationMessage"", field_email)",Edge Chromium 116,,,2023-09-05 15:43:09,2023-09-05 15:43:09,0.025s,PASSED
println(error_message),Edge Chromium 116,,,2023-09-05 15:43:09,2023-09-05 15:43:09,0.002s,PASSED
"assert error_message == ""Please enter an email address.""",Edge Chromium 116,,,2023-09-05 15:43:09,2023-09-05 15:43:09,0.007s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-Failed-004,Edge Chromium 116,user melakukan sedekah online namun saat input no handphone user menginputkan nomor handphone kurang dari 11 digit,,2023-09-05 15:44:52,2023-09-05 15:45:27,34.805s,FAILED
openBrowser(urlWeb),Edge Chromium 116,,,2023-09-05 15:44:52,2023-09-05 15:45:01,9.210s,PASSED
maximizeWindow(),Edge Chromium 116,,,2023-09-05 15:45:01,2023-09-05 15:45:02,0.295s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Edge Chromium 116,,,2023-09-05 15:45:02,2023-09-05 15:45:03,1.166s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Edge Chromium 116,,,2023-09-05 15:45:03,2023-09-05 15:45:04,1.435s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Edge Chromium 116,,,2023-09-05 15:45:04,2023-09-05 15:45:05,0.602s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), nominalSedekah)",Edge Chromium 116,,,2023-09-05 15:45:05,2023-09-05 15:45:06,1.390s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Edge Chromium 116,,,2023-09-05 15:45:06,2023-09-05 15:45:08,1.683s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), ""086754"")",Edge Chromium 116,,,2023-09-05 15:45:08,2023-09-05 15:45:10,1.877s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Edge Chromium 116,,,2023-09-05 15:45:10,2023-09-05 15:45:11,1.227s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), metodePembayaran, false)",Edge Chromium 116,,,2023-09-05 15:45:11,2023-09-05 15:45:15,3.588s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), tujuanSedekah, false)",Edge Chromium 116,,,2023-09-05 15:45:15,2023-09-05 15:45:19,4.075s,PASSED
