Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:06:49,2023-09-29 11:06:49,0.042s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:06:49,2023-09-29 11:06:49,0.596s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:06:49,2023-09-29 11:06:51,1.405s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:06:51,2023-09-29 11:06:51,0.622s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 11:06:51,2023-09-29 11:06:52,0.884s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 11:06:52,2023-09-29 11:06:53,1.102s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 11:06:53,2023-09-29 11:06:55,1.412s,PASSED
"setText(findTestObject(""sedekah online/input_Alamat Email (di sedekah online)""), email)",Firefox 117.0,,,2023-09-29 11:06:55,2023-09-29 11:06:56,1.215s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/dropdown metode pembayaraan""), pembayaran, false)",Firefox 117.0,,,2023-09-29 11:06:56,2023-09-29 11:06:57,0.857s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/sedekah online/sedekah ditunjukan untuk keluarga""), sedekahUntuk, false)",Firefox 117.0,,,2023-09-29 11:06:57,2023-09-29 11:06:58,0.794s,PASSED
"setText(findTestObject(""sedekah online/input isi doa terbaik anda""), doa)",Firefox 117.0,,,2023-09-29 11:06:58,2023-09-29 11:06:59,1.111s,PASSED
"setText(findTestObject(""sedekah online/input 2 digit terakhir nomor hp""), digitAkhir)",Firefox 117.0,,,2023-09-29 11:06:59,2023-09-29 11:07:00,0.919s,PASSED
"click(findTestObject(""sedekah online/button_Sedekah Sekarang""))",Firefox 117.0,,,2023-09-29 11:07:00,2023-09-29 11:07:01,0.903s,PASSED
webDriver = getWebDriver(),Firefox 117.0,,,2023-09-29 11:07:01,2023-09-29 11:07:01,0.105s,PASSED
"field_email = webDriver.findElement(By.xpath(""//input[@name=""alamat_email""]""))",Firefox 117.0,,,2023-09-29 11:07:01,2023-09-29 11:07:01,0.405s,PASSED
"error_message = webDriver.executeScript(""return arguments[0].validationMessage"", field_email)",Firefox 117.0,,,2023-09-29 11:07:01,2023-09-29 11:07:01,0.030s,PASSED
println(error_message),Firefox 117.0,,,2023-09-29 11:07:01,2023-09-29 11:07:01,0.016s,PASSED
"assert error_message == ""Please enter an email address.""",Firefox 117.0,,,2023-09-29 11:07:01,2023-09-29 11:07:01,0.005s,PASSED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-005,Firefox 117.0,user melakukan sedekah online namun saat input no handphone user menginputkan nomor handphone kurang dari 11 digit,,2023-09-29 11:07:01,2023-09-29 11:07:48,46.412s,FAILED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:07:03,2023-09-29 11:07:13,9.994s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:07:13,2023-09-29 11:07:13,0.035s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:07:13,2023-09-29 11:07:13,0.623s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:07:13,2023-09-29 11:07:15,1.385s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:07:15,2023-09-29 11:07:48,32.907s,FAILED
,,,,,,,
Test Cases/T05 - Sedekah Online/TC-SO-006,Firefox 117.0,user melakukan sedekah online namun saat input no handphone user menginputkan nomor handphone lebih dari 13 digit,,2023-09-29 11:07:48,2023-09-29 11:08:16,28.481s,FAILED
openBrowser(urlWeb),Firefox 117.0,,,2023-09-29 11:07:49,2023-09-29 11:08:03,13.393s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-09-29 11:08:03,2023-09-29 11:08:03,0.104s,PASSED
"click(findTestObject(""sedekah online/a_Donasi (di halaman utama)""))",Firefox 117.0,,,2023-09-29 11:08:03,2023-09-29 11:08:03,0.568s,PASSED
"click(findTestObject(""sedekah online/a_Sedekah Online""))",Firefox 117.0,,,2023-09-29 11:08:03,2023-09-29 11:08:04,1.114s,PASSED
"verifyElementPresent(findTestObject(""sedekah online/verifikasi halaman sedekah Online""), 0)",Firefox 117.0,,,2023-09-29 11:08:04,2023-09-29 11:08:05,0.621s,PASSED
"setText(findTestObject(""sedekah online/input_Sedekah""), NominalSedekah)",Firefox 117.0,,,2023-09-29 11:08:05,2023-09-29 11:08:06,0.829s,PASSED
"setText(findTestObject(""sedekah online/input_Nama lengkap (di sedekah online)""), namaLengkap)",Firefox 117.0,,,2023-09-29 11:08:06,2023-09-29 11:08:07,1.091s,PASSED
"setText(findTestObject(""sedekah online/input_No Handphone (di sedekah online)""), noHp)",Firefox 117.0,,,2023-09-29 11:08:07,2023-09-29 11:08:08,1.114s,PASSED
